,budget,company,genre,gross,name,score,votes,year
106,0.0,Empire Pictures,Comedy,320256.0,TerrorVision,5.7,4620,1986
107,0.0,Golan-Globus Productions,Action,3751699.0,Allan Quatermain and the Lost City of Gold,4.4,7491,1986
108,0.0,HandMade Films,Crime,5794184.0,Mona Lisa,7.4,10747,1986
109,0.0,Delphi Films,Comedy,32324557.0,Nothing in Common,5.9,5345,1986
110,8000000.0,Cannon Group,Action,11834302.0,Firewalker,5.0,4752,1986
111,0.0,Cannon Screen Entertainment,Adventure,483460.0,Castaway,6.0,2649,1986
112,3300000.0,Amaretto Films,Comedy,4941117.0,Vamp,5.9,3909,1986
113,0.0,British Film Institute (BFI),Biography,3151.0,Caravaggio,6.7,4072,1986
114,0.0,Les Films Plain Chant,Crime,21483.0,Mauvais Sang,7.3,4922,1986
115,0.0,Paramount Pictures,Drama,4636169.0,Fire with Fire,6.6,1264,1986
116,15000000.0,Warner Bros.,Comedy,12308521.0,Club Paradise,4.9,5049,1986
117,40000000.0,Universal Pictures,Comedy,49851591.0,Legal Eagles,5.9,8374,1986
118,0.0,Thorn EMI Screen Entertainment,Comedy,1476356.0,Clockwise,6.6,9689,1986
119,0.0,Atlantic Entertainment Group,Drama,13418091.0,Extremities,6.3,2705,1986
120,13000000.0,Metro-Goldwyn-Mayer (MGM),Comedy,8475466.0,Wise Guys,5.6,4573,1986
121,0.0,Atlantic Entertainment Group,Drama,2444076.0,The Men's Club,4.5,680,1986
122,0.0,DD Productions,Drama,4940939.0,Jean de Florette,8.1,20914,1986
123,0.0,Balcor Film Investors,Drama,2510433.0,Reform School Girls,5.2,1717,1986
124,0.0,DD Productions,Drama,3940542.0,Manon of the Spring,8.0,17849,1986
125,17000000.0,HandMade Films,Adventure,2315683.0,Shanghai Surprise,3.1,4339,1986
126,16000000.0,Lorimar Productions,Drama,3800000.0,Power,5.7,2287,1986
127,0.0,Not specified,Comedy,604849.0,Modern Girls,5.9,1023,1986
128,20000000.0,De Laurentiis Entertainment Group (DEG),Comedy,22905500.0,Crimes of the Heart,6.4,3079,1986
129,0.0,Cinema VII,Horror,2278264.0,Nomads,5.5,3006,1986
130,0.0,Empire Pictures,Action,4601256.0,Eliminators,4.5,1422,1986
131,0.0,TMS Pictures,Comedy,2147228.0,Meatballs III: Summer Job,3.3,2003,1986
132,6000000.0,Golan-Globus Productions,Action,9947631.0,Murphy's Law,5.9,3561,1986
133,0.0,Edward R. Pressman Film,Musical,2545142.0,True Stories,7.0,3885,1986
134,0.0,Warner Bros.,Comedy,10090429.0,Under the Cherry Moon,4.9,2549,1986
135,0.0,Delphi V Productions,Drama,278623.0,Every Time We Say Goodbye,5.9,1834,1986
136,0.0,Goldcrest Films International,Drama,930211.0,Absolute Beginners,5.6,2659,1986
137,0.0,Little Bear,Drama,3272600.0,'Round Midnight,7.4,4028,1986
138,4000000.0,"Cannon Group, The",Action,4679650.0,Avenging Force,5.9,1808,1986
139,0.0,Simcom Limited,Action,2995527.0,Bullies,5.4,340,1986
140,0.0,Compact Yellowbill,Adventure,112132.0,Biggles: Adventures in Time,5.8,2243,1986
141,0.0,Lorimar Productions,Drama,4845724.0,American Anthem,4.0,1284,1986
142,0.0,Columbia Pictures Corporation,Action,5099316.0,Out of Bounds,5.4,1016,1986
143,0.0,Crown International Pictures,Comedy,4781448.0,My Chauffeur,5.6,1426,1986
144,18000000.0,Rastar Pictures,Comedy,11957943.0,Brighton Beach Memoirs,6.9,2720,1986
145,0.0,Ministère de la Culture et de la Communication,Drama,37455.0,Summer,7.8,4612,1986
146,0.0,Cannon Group,Drama,3136701.0,The Naked Cage,5.5,327,1986
147,0.0,Cannon Screen Entertainment,Horror,1720450.0,Link,5.9,2080,1986
148,0.0,Edward R. Pressman Film,Thriller,1131399.0,Half Moon Street,5.4,2157,1986
149,0.0,Aaron Spelling Productions,Drama,441863.0,"'night, Mother",7.6,1840,1986
150,0.0,Blake Edwards,Action,6029824.0,A Fine Mess,4.5,1164,1986
151,0.0,Chroma III Productions,Comedy,78068.0,Hardbodies 2,2.9,895,1986
152,0.0,Fons Rademakers Produktie,Drama,203781.0,The Assault,7.3,2694,1986
153,0.0,Griffon Productions,Comedy,277405.0,Willy/Milly,5.7,323,1986
154,0.0,Heron Communications,Drama,239073.0,The Ladies Club,5.3,154,1986
155,0.0,Delphi V Productions,Action,140980.0,Let's Get Harry,5.2,978,1986
156,25000000.0,De Laurentiis Entertainment Group (DEG),Adventure,4007250.0,Tai-Pan,5.5,1340,1986
157,0.0,Scary Stuff,Comedy,2750741.0,Deadtime Stories,4.6,973,1986
158,17000000.0,Escalante Productions,Action,2793214.0,Heat,5.5,1358,1986
159,0.0,Kings Road Entertainment,Comedy,1254040.0,Touch and Go,5.8,684,1986
160,0.0,Canadian Broadcasting Corporation (CBC),Biography,275000.0,The Boy in Blue,5.4,907,1986
161,0.0,Universal Pictures,Comedy,14205021.0,Sweet Liberty,5.7,2300,1986
162,0.0,Marquis,Comedy,681337.0,Killer Party,4.7,1265,1986
163,0.0,Rondo Productions,Drama,537681.0,Parting Glances,7.8,2330,1986
164,0.0,Nelvana,Animation,8540346.0,Care Bears Movie II: A New Generation,5.3,1760,1986
165,14000000.0,Columbia Pictures Corporation,Biography,18034150.0,"Jo Jo Dancer, Your Life Is Calling",6.3,1288,1986
166,0.0,Balcor Film Investors,Action,1943751.0,Jake Speed,5.3,632,1986
167,3401376.0,Cinema Group Ventures,Action,3388020.0,Born American,4.3,1509,1986
168,10000000.0,Paramount Pictures,Action,6947787.0,Blue City,4.4,792,1986
169,0.0,Cascade Films,Comedy,544472.0,Malcolm,7.2,1623,1986
170,0.0,Miramax,Comedy,2669366.0,Playing for Keeps,4.1,515,1986
171,0.0,Golan-Globus Productions,Drama,8736.0,Duet for One,7.0,699,1986
172,0.0,Island Pictures,Comedy,563358.0,Nobody's Fool,5.5,652,1986
173,0.0,Paramount Pictures,Comedy,444746.0,The Whoopee Boys,6.2,639,1986
174,0.0,Blake Edwards,Comedy,4079895.0,That's Life!,6.1,1032,1986
175,0.0,Hemdale,Comedy,14926.0,Body Slam,5.3,795,1986
176,0.0,"Rank Organisation, The",Thriller,750000.0,Defense of the Realm,6.6,1625,1986
177,0.0,Cinequanon,Drama,725000.0,Man Facing Southeast,7.8,2991,1986
178,0.0,Corporation Image M & M,Comedy,1902706.0,The Decline of the American Empire,7.3,6622,1986
179,0.0,Rastar Films,Drama,4743287.0,Violets Are Blue...,5.7,553,1986
180,0.0,Portreeve,Thriller,1500000.0,The Whistle Blower,6.2,1672,1986
181,2000000.0,American Playhouse,Drama,1301121.0,Native Son,5.9,448,1986
182,0.0,Carson Productions,Drama,416393.0,Desert Bloom,6.6,821,1986
183,0.0,Alternate Current,Drama,1777378.0,Working Girls,6.5,604,1986
184,0.0,Ciné Valse,Comedy,925952.0,Ménage,7.0,2022,1986
185,0.0,Caméras Continentales,Biography,583800.0,Oviri,6.2,275,1986
186,0.0,Film Corporation of Kenya,Action,181410.0,In the Shadow of Kilimanjaro,5.1,310,1986
187,0.0,Cineplex-Odeon Films,Drama,432266.0,Kangaroo,6.7,156,1986
188,0.0,Cannon Group,Action,2390525.0,Dangerously Close,6.6,935,1986
189,0.0,Hyperion Pictures,Family,781727.0,Nutcracker,7.2,578,1986
190,0.0,Produzioni Europee Associate (PEA),Comedy,837623.0,Ginger and Fred,7.3,3859,1986
191,0.0,Metro-Goldwyn-Mayer (MGM),Crime,502237.0,Dream Lover,5.1,405,1986
192,0.0,MTM Enterprises,Drama,6408791.0,Just Between Friends,5.9,629,1986
193,0.0,Lynn-Davis Productions,Action,145975.0,Thunder Run,5.1,218,1986
194,0.0,Longshot,Comedy,1096843.0,The Longshot,5.4,457,1986
195,0.0,Silver Screen Partners II,Comedy,4842778.0,Off Beat,5.0,748,1986
196,0.0,Roundhouse,Drama,2520664.0,Streets of Gold,6.0,505,1986
197,0.0,Convy-Fimberg Productions,Action,351623.0,Weekend Warriors,4.4,237,1986
198,1500000.0,Cinetel Films,Action,1368912.0,Armed Response,4.9,489,1986
199,0.0,Cannon City Produktie Maatschappij B.V.,Drama,189042.0,Otello,7.2,424,1986
200,0.0,Alliance Communications Corporation,Drama,440438.0,On the Edge,7.1,171,1986
201,0.0,Action Communications,Action,63860.0,Low Blow,3.5,256,1986
202,0.0,Cote Blanche Productions,Drama,1444618.0,Belizaire the Cajun,6.4,391,1986
203,0.0,Les Films 13,Drama,227510.0,A Man and a Woman: 20 Years Later,5.8,496,1986
204,0.0,New Line Cinema,Action,1900000.0,Quiet Cool,5.7,542,1986
205,0.0,Not specified,Action,2497233.0,Behind Enemy Lines,4.9,368,1986
206,0.0,Not specified,Action,193153.0,Wired to Kill,4.2,163,1986
207,0.0,Fringe Dwellers Productions,Drama,149440.0,The Fringe Dwellers,6.7,305,1986
208,0.0,T. Films,Crime,164187.0,Scene of the Crime,6.9,565,1986
209,0.0,Hanna-Barbera Productions,Animation,1338264.0,GoBots: Battle of the Rock Lords,5.8,397,1986
210,0.0,Channel Four Films,Comedy,267249.0,The Gospel According to Vic,6.1,227,1986
211,0.0,Grace,Action,601451.0,Knights of the City,4.8,103,1986
212,0.0,Embassy Pictures,Comedy,18209.0,Saving Grace,7.0,467,1986
213,0.0,Hunter/MFG Production,Action,492367.0,Jackals,5.3,139,1986
214,0.0,Cannon Films,Comedy,22123.0,Detective School Dropouts,5.8,220,1986
215,0.0,CBS Entertainment Production,Adventure,676166.0,Where the River Runs Black,6.6,351,1986
216,0.0,DIC Entertainment,Family,2193642.0,Heathcliff: The Movie,5.3,187,1986
217,0.0,AAR Films,Comedy,32279.0,One More Saturday Night,5.7,211,1986
218,16000000.0,Act III Communications,Adventure,30857814.0,The Princess Bride,8.1,320953,1987
219,1000000.0,Cinemarque Entertainment BV,Horror,14564027.0,Hellraiser,7.0,83209,1987
220,30000000.0,Natant,Drama,46357676.0,Full Metal Jacket,8.3,537826,1987
221,6000000.0,Great American Films Limited Partnership,Drama,63952836.0,Dirty Dancing,6.9,155978,1987
222,0.0,Warner Bros.,Comedy,32222567.0,The Lost Boys,7.3,100376,1987
223,15000000.0,Amercent Films,Action,59735548.0,Predator,7.8,313213,1987
224,27000000.0,Braveworld Productions,Action,38122105.0,The Running Man,6.6,120345,1987
225,22700000.0,Brooksfilms,Adventure,38119483.0,Spaceballs,7.1,146748,1987
226,13000000.0,Orion Pictures,Action,53424681.0,RoboCop,7.5,196245,1987
227,15000000.0,Warner Bros.,Action,65207127.0,Lethal Weapon,7.6,204328,1987
228,25000000.0,Paramount Pictures,Crime,76270454.0,The Untouchables,7.9,234254,1987
229,3600000.0,De Laurentiis Entertainment Group (DEG),Comedy,5923044.0,Evil Dead II,7.8,123325,1987
230,22000000.0,Golan-Globus Productions,Action,17336370.0,Masters of the Universe,5.4,30370,1987
231,12000000.0,Home Box Office (HBO),Action,3769990.0,The Monster Squad,7.2,21420,1987
232,14000000.0,Paramount Pictures,Drama,156645693.0,Fatal Attraction,6.9,60383,1987
233,30000000.0,Eon Productions,Action,51185897.0,The Living Daylights,6.7,74272,1987
234,15000000.0,Twentieth Century Fox Film Corporation,Crime,43848100.0,Wall Street,7.4,126195,1987
235,35000000.0,Amblin Entertainment,Drama,22238696.0,Empire of the Sun,7.8,96566,1987
236,0.0,Apollo Pictures,Comedy,31623833.0,Can't Buy Me Love,6.7,26348,1987
237,22000000.0,Warner Bros.,Comedy,63766510.0,The Witches of Eastwick,6.5,51642,1987
238,0.0,Paramount Pictures,Comedy,35658098.0,Summer School,6.5,14038,1987
239,4500000.0,New Line Cinema,Action,44793222.0,A Nightmare on Elm Street 3: Dream Warriors,6.6,55414,1987
240,0.0,Touchstone Pictures,Action,34368475.0,Adventures in Babysitting,6.9,30850,1987
241,0.0,RKO Pictures,Action,13839404.0,Hamburger Hill,6.7,20159,1987
242,23000000.0,Universal Pictures,Adventure,20763013.0,Jaws: The Revenge,2.9,33419,1987
243,25000000.0,Cannon Group,Action,16057580.0,Over the Top,5.7,40916,1987
244,30000000.0,Paramount Pictures,Comedy,49530280.0,"Planes, Trains & Automobiles",7.6,98897,1987
245,6000000.0,Circle Films,Comedy,22847564.0,Raising Arizona,7.4,107669,1987
246,17000000.0,Carolco International N.V.,Horror,17185632.0,Angel Heart,7.3,67453,1987
247,0.0,Hughes Entertainment,Drama,18553948.0,Some Kind of Wonderful,7.1,21931,1987
248,6000000.0,Gladden Entertainment,Comedy,42721196.0,Mannequin,5.8,24626,1987
249,0.0,Hawn / Sylbert Movie Company,Comedy,26713187.0,Overboard,6.8,40429,1987
250,27000000.0,Warner Bros.,Action,25893810.0,Innerspace,6.8,45172,1987
251,15000000.0,Metro-Goldwyn-Mayer (MGM),Comedy,80640528.0,Moonstruck,7.1,38600,1987
252,28000000.0,Paramount Pictures,Action,153665000.0,Beverly Hills Cop II,6.5,90969,1987
253,0.0,Amblin Entertainment,Comedy,29760613.0,Harry and the Hendersons,5.9,26157,1987
254,23000000.0,Recorded Picture Company (RPC),Biography,43984230.0,The Last Emperor,7.8,76408,1987
255,13000000.0,Touchstone Pictures,Biography,123922370.0,"Good Morning, Vietnam",7.3,106924,1987
256,2600000.0,Merchant Ivory Productions,Drama,3130592.0,Maurice,7.7,11837,1987
257,11000000.0,Interscope Communications,Comedy,167780960.0,3 Men and a Baby,5.9,39544,1987
258,3000000.0,Alive Films,Horror,14182492.0,Prince of Darkness,6.7,28064,1987
259,6500000.0,Columbia Pictures Corporation,Biography,54215416.0,La Bamba,6.8,22839,1987
260,5000000.0,F/M,Action,3369307.0,Near Dark,7.0,27485,1987
261,0.0,Road Movies Filmproduktion,Drama,3210139.0,Wings of Desire,8.1,51522,1987
262,0.0,Twentieth Century Fox Film Corporation,Crime,12396383.0,Less Than Zero,6.4,15500,1987
263,15000000.0,Orion Pictures,Action,35509515.0,No Way Out,7.1,28684,1987
264,0.0,Universal Pictures,Comedy,32945797.0,*batteries not included,6.6,25330,1987
265,0.0,United Artists,Comedy,26712476.0,Baby Boom,6.1,11414,1987
266,0.0,Cineplex-Odeon Films,Comedy,1544889.0,Withnail & I,7.8,33285,1987
267,0.0,Fries Entertainment,Drama,15151736.0,Flowers in the Attic,5.7,7993,1987
268,20000000.0,Amercent Films,Comedy,51249404.0,Broadcast News,7.2,22802,1987
269,2500000.0,New Century Entertainment Corporation,Fantasy,13539458.0,Túnel al infierno,6.0,11435,1987
270,17000000.0,Cannon Films,Action,15681020.0,Superman IV: The Quest for Peace,3.6,35866,1987
271,3500000.0,Laurel Entertainment Inc.,Comedy,14000000.0,Creepshow 2,6.0,17500,1987
272,3000000.0,Atlantic Entertainment Group,Comedy,7888703.0,Teen Wolf Too,3.2,8905,1987
273,12000000.0,Columbia Pictures Industries,Comedy,40050884.0,Roxanne,6.6,34794,1987
