;budget;company;genre;gross;name;score;votes;year;Animation_1;Animation_2;Animation_3;Animation_4
1876;0;Ang Lee Productions;Comedy;7294403;Eat Drink Man Woman;7,8;14947;1994;;;;
1877;0;Capitol Films;Action;8009329;The Chase;5,8;15239;1994;;;;
1878;6200000;Warner Bros.;Comedy;126247;Police Academy: Mission to Moscow;3,3;26638;1994;;;;
1879;10000000;Caravan Pictures;Action;29392418;A Low Down Dirty Shame;5,9;4331;1994;;;;
1880;7850000;Greenleaf Productions;Action;2341309;Double Dragon;3,7;9200;1994;;;;
1881;200000;Buckeye Films;Comedy;1359736;Spanking the Monkey;6,3;5363;1994;;;;
1882;12000000;Fine Line Features;Drama;2104000;Death and the Maiden;7,3;18786;1994;;;;
1883;0;Aleph Producciones S.A.;Drama;19710;De amor y de sombras;5,1;1592;1994;;;;
1884;40000000;Castle Rock Entertainment;Comedy;43622150;City Slickers II: The Legend of Curly's Gold;5,5;15982;1994;;;;
1885;25000000;Paramount Pictures;Comedy;26372663;I.Q.;6,2;20930;1994;;;;
1886;19000000;Morra, Brezner, Steinberg and Tenenbaum Entertainment (MBST);Comedy;7411659;Clifford;5,3;5807;1994;;;;
1887;0;Don Bluth;Animation;71368;A Troll in Central Park;5,4;4914;1994;;;;
1888;35000000;Imagine Entertainment;Action;20277185;The Cowboy Way;5,8;6634;1994;;;;
1889;0;Imagine Entertainment;Comedy;13145977;Greedy;6,2;11022;1994;;;;
1890;0;Castle Rock Entertainment;Comedy;12211068;Little Big League;6,1;8249;1994;;;;
1891;20000000;Ben-Ami/Leeds Productions;Family;11784000;3 Ninjas Kick Back;4,4;7189;1994;;;;
1892;15000000;TriStar Pictures;Comedy;6798240;Mixed Nuts;5,4;8563;1994;;;;
1893;700000;Cineville;Comedy;376928;Swimming with Sharks;7,1;20003;1994;;;;
1894;45000000;Paramount Pictures;Action;28720380;Drop Zone;5,6;16774;1994;;;;
1895;5000000;21st Century Film Corporation;Action;1702394;Death Wish V: The Face of Death;4,7;5329;1994;;;;
1896;7000000;Jackson/McHenry Company,The;Crime;20851521;Jason's Lyric;6,6;2838;1994;;;;
1897;45000000;Paramount Pictures;Drama;20928892;Intersection;5,2;6432;1994;;;;
1898;0;New Line Cinema;Adventure;16344520;Mi adorable delincuente;5,3;5382;1994;;;;
1899;0;Walt Disney Pictures;Adventure;21006361;Iron Will;6,5;6113;1994;;;;
1900;4000000;Audifilm;Comedy;253969;Cemetery Man;7,3;17110;1994;;;;
1901;0;Lightning Ridge;Comedy;16821273;Lightning Jack;5,4;5541;1994;;;;
1902;50000000;Hollywood Pictures;Action;16478900;Terminal Velocity;5,4;11352;1994;;;;
1903;26000000;Fallingcloud;Action;13829734;Highlander: The Final Dimension;4,3;17307;1994;;;;
1904;1900000;Aim;Drama;763847;Before the Rain;8,1;11967;1994;;;;
1905;0;ERA International;Drama;2332728;To Live;8,3;12705;1994;;;;
1906;6000000;Universal Pictures;Comedy;38824341;The Paper;6,6;11123;1994;;;;
1907;0;Touchstone Pictures;Adventure;3662459;Cabin Boy;5,1;7171;1994;;;;
1908;0;August Entertainment;Comedy;161410;Sleep with Me;5,7;2233;1994;;;;
1909;2800000;Caméra One;Drama;2616503;Burnt by the Sun;8;11998;1994;;;;
1910;0;British Screen Productions;Drama;217881;Sister My Sister;6,9;2712;1994;;;;
1911;60000000;Mulholland Productions;Comedy;18250211;Love Affair;5,9;3922;1994;;;;
1912;0;Columbia Pictures Corporation;Comedy;1777020;I Like It Like That;6,8;1290;1994;;;;
1913;30000000;Metro-Goldwyn-Mayer (MGM);Comedy;18438164;Getting Even with Dad;4,6;6383;1994;;;;
1914;0;Carolco Pictures;Adventure;4358940;Wagons East;4,7;4191;1994;;;;
1915;45000000;Caravan Pictures;Action;30806194;I Love Trouble;5,2;10145;1994;;;;
1916;0;Hudlin Brothers, The;Comedy;19281235;House Party 3;4,1;2684;1994;;;;
1917;2000000;Planet Productions;Comedy;2260622;Leprechaun 2;4,4;6778;1994;;;;
1918;0;Columbia Pictures Corporation;Comedy;7892208;Blankman;4,8;7048;1994;;;;
1919;0;Entertainment Film Distributors;Action;1422749;Death Machine;5,7;3032;1994;;;;
1920;0;British Broadcasting Corporation (BBC);Drama;4176932;Priest;7,1;8634;1994;;;;
1921;0;First Look International;Comedy;319123;Trading Mom;5,5;1451;1994;;;;
1922;0;Channel Four Films;Biography;2392599;Backbeat;6,7;5047;1994;;;;
1923;0;Jet Tone Production;Action;173526;Ashes of Time;7,2;10951;1994;;;;
1924;0;Santo Domingo Film & Music Video;Comedy;2667163;The Scout;5,3;5255;1994;;;;
1925;3000000;Jones Entertainment Group;Drama;6101600;The Secret of Roan Inish;7,5;6305;1994;;;;
1926;0;TriStar Pictures;Comedy;11384038;Cops and Robbersons;5;5507;1994;;;;
1927;7000000;Fine Line Features;Biography;2144667;Mrs. Parker and the Vicious Circle;6,4;3789;1994;;;;
1928;0;Enigma Productions;Adventure;12712;War of the Buttons;7,5;3452;1994;;;;
1929;20000000;Channel Films;Comedy;27053498;Guarding Tess;6,2;13526;1994;;;;
1930;15000000;Tig Productions;Crime;3038499;China Moon;6,2;4508;1994;;;;
1931;30000000;Warner Bros.;Comedy;1519366;Being Human;5,4;3439;1994;;;;
1932;0;Cecchi Gori Group Tiger Cinematografica;Crime;202458;A Pure Formality;7,8;7749;1994;;;;
1933;17080000;Hollywood Pictures;Comedy;21011500;The Air Up There;5,5;7663;1994;;;;
1934;20000000;Majestic Films International;Action;305070;Rapa Nui;6,4;4075;1994;;;;
1935;0;Permut Presentations;Adventure;5777916;Trapped in Paradise;5,9;10599;1994;;;;
1936;2300000;Fine Line Features;Crime;1095885;Little Odessa;6,8;6076;1994;;;;
1937;13000000;Nelson Entertainment;Comedy;3134081;The Favor;5,3;2201;1994;;;;
1938;0;Polygram Filmed Entertainment;Comedy;63649;S.F.W.;5,9;4242;1994;;;;
1939;0;Forge;Comedy;20664501;Speechless;5,7;4298;1994;;;;
1940;0;Alcor Films;Biography;1007583;Cobb;6,5;6227;1994;;;;
1941;15000000;Metro-Goldwyn-Mayer (MGM);Comedy;70936;It Runs in the Family;5,7;1234;1994;;;;
1942;0;Broadway Pictures;Family;9979683;Lassie;5,9;4198;1994;;;;
1943;0;Stéphan Films;Biography;2122948;Farinelli;6,9;5412;1994;;;;
1944;0;Touchstone Pictures;Drama;3428774;A Simple Twist of Fate;6,3;4420;1994;;;;
1945;2300000;American Playhouse;Comedy;856422;Amateur;7;4804;1994;;;;
1946;30000000;Kouf/Bigelow Productions;Drama;3180674;Silent Fall;5,9;3114;1994;;;;
1947;0;CiBy 2000;Crime;3313633;The Glass Shield;6,6;2960;1994;;;;
1948;3200000;Barcelona Films;Comedy;7266973;Barcelona;7;4843;1994;;;;
1949;10500000;Nelson Entertainment;Comedy;123509;There Goes My Baby;6,4;902;1994;;;;
1950;0;Walt Disney Pictures;Adventure;8878839;White Fang 2: Myth of the White Wolf;5,4;1764;1994;;;;
1951;0;Bay Kinescope;Drama;124693;Oleanna;6,7;2499;1994;;;;
1952;30000000;Baltimore Pictures;Crime;3692874;Jimmy Hollywood;5,3;2702;1994;;;;
1953;0;Ardican Films;Comedy;3021629;Princess Caraboo;6;2187;1994;;;;
1954;44000000;Columbia Pictures Corporation;Comedy;10209111;I'll Do Anything;5,6;2180;1994;;;;
1955;15000000;Universal Pictures;Comedy;1299060;Radioland Murders;6,2;2920;1994;;;;
1956;200000;Acme Films Ltd.;Horror;986314;Mosquito;4,6;1715;1994;;;;
1957;0;Australian Film Finance Corporation (AFFC);Comedy;766464;The Sum of Us;7,4;4544;1994;;;;
1958;0;Percy Main;Drama;464423;The Browning Version;7,3;2624;1994;;;;
1959;0;Caravan Pictures;Comedy;9398308;Angie;5,4;1838;1994;;;;
1960;0;Channel Four Films;Comedy;1746050;Vanya on 42nd Street;7,5;3622;1994;;;;
1961;0;British Columbia Film Commission;Drama;759393;Double Happiness;7,2;961;1994;;;;
1962;15000;Can I Watch;Drama;2408311;Go Fish;5,6;1742;1994;;;;
1963;10700000;Orion Pictures;Comedy;1238080;Car 54, Where Are You?;2,4;4018;1994;;;;
1964;0;Good Machine;Drama;8534;River of Grass;6,5;626;1994;;;;
1965;0;British Screen Productions;Biography;538534;Tom & Viv;6,5;1357;1994;;;;
1966;1000000;Kino Link Company;Drama;446934;Nadja;6;2586;1994;;;;
1967;0;Ima Films;Drama;917915;Wild Reeds;7,6;4397;1994;;;;
1968;0;Channel Four Films;Drama;152457;Ladybird Ladybird;7,5;2568;1994;;;;
1969;19200000;Walt Disney Pictures;Adventure;3337685;Squanto: A Warrior's Tale;6,1;939;1994;;;;
1970;0;Cineplex-Odeon Films;Comedy;304852;Dance Me Outside;7,3;957;1994;;;;
1971;0;Canal Plus;Comedy;642000;The Monster;7,5;8177;1994;;;;
1972;0;Abbas Kiarostami Productions;Drama;40300;Through the Olive Trees;7,8;4232;1994;;;;
1973;0;Canal+;Adventure;1000000;Little Indian, Big City;5,6;3362;1994;;;;
1974;18000000;Metro-Goldwyn-Mayer (MGM);Comedy;7503192;Clean Slate;5,7;3264;1994;;;;
1975;0;Aurora Productions LLC;Comedy;713234;Holy Matrimony;5,1;1113;1994;;;;
1976;0;Neue Constantin Film;Comedy;366506;Maybe... Maybe Not;6,6;5089;1994;;;;
1977;20000000;Capitol Films;Comedy;2308390;A Good Man in Africa;5;2032;1994;;;;
1978;0;Arena Films;Drama;111015;I Can't Sleep;7;894;1994;;;;
1979;0;Canal+;Action;311922;La fille de d'Artagnan;5,9;2764;1994;;;;
1980;33000000;Cecchi Gori Pictures;Crime;100125643;Se7en;8,6;1134655;1995;;;;
1981;50000000;TriStar Pictures;Action;100475249;Jumanji;6,9;232339;1995;;;;
1982;72000000;Icon Entertainment International;Biography;75600000;Braveheart;8,4;807256;1995;;;;
1983;6000000;PolyGram Filmed Entertainment;Crime;23341568;The Usual Suspects;8,6;814470;1995;;;;
1984;60000000;Warner Bros.;Action;67436818;Heat;8,2;470080;1995;;;;
1985;12000000;Paramount Pictures;Comedy;56631572;Clueless;6,8;136975;1995;;;;
1986;55000000;Walt Disney Pictures;Animation;141600000;Pocahontas;6,7;133708;1995;;;;
1987;29000001;Universal Pictures;Mystery;57141459;Twelve Monkeys;8;500403;1995;;;;
1988;30000000;Pixar Animation Studios;Animation;191796233;Toy Story;8,3;694113;1995;x;;;
1989;100000000;Warner Bros.;Action;184031112;Batman Forever;5,4;203965;1995;;;;
1990;60000000;Eon Productions;Action;106600000;GoldenEye;7,2;209588;1995;;;;
1991;52000000;Universal Pictures;Crime;42438300;Casino;8,2;367532;1995;;;;
1992;1500000;Guys Upstairs;Drama;7417210;Kids;7;63097;1995;;;;
1993;45000000;Carolco Pictures;Drama;20302961;Showgirls;4,7;53325;1995;;;;
1994;50000000;Universal Pictures;Comedy;100328194;Casper;6;94596;1995;;;;
1995;0;Kôdansha;Animation;515905;Ghost in the Shell;8;101716;1995;;;;
1996;3500000;New Line Cinema;Comedy;27467564;Friday;7,3;82224;1995;;;;
1997;2500000;Castle Rock Entertainment;Drama;5535405;Before Sunrise;8,1;207167;1995;;;;
1998;18000000;New Line Cinema;Action;70454098;Mortal Kombat;5,8;87007;1995;;;;
1999;52000000;Universal Pictures;Adventure;173837933;Apollo 13;7,6;224635;1995;;;;
2000;20000000;United Artists;Comedy;7564000;Hackers;6,2;57821;1995;;;;
2001;19000000;Don Simpson/Jerry Bruckheimer Films;Action;65807024;Bad Boys;6,8;186965;1995;;;;
2002;90000000;Cinergi Pictures Entertainment;Action;100012499;Die Hard with a Vengeance;7,6;317792;1995;;;;
2003;10000000;Universal Pictures;Comedy;25588750;Billy Madison;6,4;112423;1995;;;;
2004;175000000;Universal Pictures;Action;88246220;Waterworld;6,1;153742;1995;;;;
2005;50000000;Paramount Pictures;Action;81022101;Congo;5,1;36705;1995;;;;
2006;16000000;Columbia Pictures Corporation;Drama;43182776;Sense and Sensibility;7,7;84237;1995;;;;
2007;30250000;Metro-Goldwyn-Mayer (MGM);Comedy;72077000;Get Shorty;6,9;66364;1995;;;;
2008;62000000;Universal Pictures;Comedy;65000000;The American President;6,8;45293;1995;;;;
2009;25000000;Trilogy Entertainment Group;Action;4064333;Tank Girl;5,3;26302;1995;;;;
2010;9500000;Caravan Pictures;Drama;30862146;Powder;6,6;25582;1995;;;;
2011;35000000;Metro-Goldwyn-Mayer (MGM);Action;60074103;Species;5,8;64667;1995;;;;
2012;18000000;Club d'Investissement Média;Fantasy;1513028;The City of Lost Children;7,7;58437;1995;;;;
2013;3600000;Lumiere Pictures;Drama;31968347;Adiós a Las Vegas;7,6;99239;1995;;;;
2014;0;New Line Cinema;Biography;2424439;The Basketball Diaries;7,3;86655;1995;;;;
2015;7000000;Columbia Pictures Corporation;Action;25625110;Desperado;7,2;147918;1995;;;;
2016;0;Caravan Pictures;Comedy;17689177;Heavy Weights;6,7;21136;1995;;;;
2017;0;Monarchy Enterprises B.V.;Comedy;303841;Empire Records;6,7;40911;1995;;;;
2018;30000000;Universal Pictures;Comedy;66600000;Babe, el puerquito valiente;6,8;100541;1995;;;;
2019;42000000;Lightstorm Entertainment;Action;7919000;Strange Days;7,2;57697;1995;;;;
2020;30000000;Morgan Creek Productions;Adventure;108385533;Ace Ventura: When Nature Calls;6,3;172305;1995;;;;
2021;4000000;Miramax;Comedy;4301331;Four Rooms;6,7;83723;1995;;;;
2022;0;Canal+;Crime;309811;La Haine;8,1;115435;1995;;;;
2023;17000000;Hollywood Pictures;Comedy;81057016;While You Were Sleeping;6,7;76882;1995;;;;
2024;32000000;TriStar Pictures;Action;18636537;Rápida y mortal;6,4;73223;1995;;;;
2025;0;Universal Pictures;Adventure;29412050;Major Payne;6,2;24344;1995;;;;
2026;70000000;Hollywood Pictures;Action;34693481;Judge Dredd;5,5;95091;1995;;;;
2027;0;Walt Disney Pictures;Animation;35348597;A Goofy Movie;6,8;36877;1995;;;;
2028;22000000;Universal Pictures;Horror;9417567;Village of the Damned;5,6;23569;1995;;;;
2029;0;Broadway Pictures;Adventure;32700000;Tommy Boy;7,1;66163;1995;;;;
2030;17000000;Warner Bros.;Drama;10019307;A Little Princess;7,7;26945;1995;;;;
2031;12000000;Paramount Pictures;Comedy;46576136;The Brady Bunch Movie;5,9;18224;1995;;;;
2032;11000000;Havoc;Crime;39387284;Dead Man Walking;7,6;77349;1995;;;;
2033;25000000;Lancaster Gate;Comedy;69870000;Grumpier Old Men;6,6;20718;1995;;;;
2034;0;Universal Pictures;Comedy;36474193;To Wong Foo Thanks for Everything, Julie Newmar;6,4;22962;1995;;;;
2035;0;New Line Cinema;Comedy;27400000;Now and Then;6,8;22719;1995;;;;
2036;0;Dualstar Productions;Comedy;19474589;It Takes Two;5,8;16200;1995;;;;
2037;20000000;Regency Enterprises;Drama;32051917;Copycat;6,6;45066;1995;;;;
2038;0;Castle Rock Entertainment;Crime;24361867;Dolores Claiborne;7,4;30927;1995;;;;
2039;15000000;Twentieth Century Fox Film Corporation;Action;37804616;Mighty Morphin Power Rangers: The Movie;5,1;21647;1995;;;;
2040;50000000;Warner Bros.;Action;67823573;Outbreak;6,6;95549;1995;;;;
2041;9000000;Pandora Filmproduktion;Drama;1037847;Dead Man;7,7;77407;1995;;;;
2042;53000000;Hollywood Pictures;Action;91400000;Crimson Tide;7,3;86579;1995;;;;
2043;24000000;Warner Bros.;Drama;71516617;The Bridges of Madison County;7,6;58975;1995;;;;
2044;23000000;Hollywood Pictures;Biography;84919401;Dangerous Minds;6,4;40880;1995;;;;
2045;20000000;Columbia Pictures Corporation;Comedy;21284514;To Die For;6,8;36974;1995;;;;
2046;0;Trimark Pictures;Comedy;704543;Kicking and Screaming;7;7594;1995;;;;
2047;6000000;Gramercy Pictures (I);Comedy;2122561;Mallrats;7,2;103484;1995;;;;
2048;5000000;Halloween VI Productions;Horror;15116634;Halloween: The Curse of Michael Myers;5;22890;1995;;;;
2049;60000000;Warner Bros.;Action;50024083;Under Siege 2: Dark Territory;5,4;38220;1995;;;;
2050;25000000;TriStar Pictures;Action;19076000;Johnny Mnemonic;5,6;58885;1995;;;;
2051;0;Columbia Pictures Corporation;Crime;38290723;Higher Learning;6,5;15576;1995;;;;
2052;20000000;Twentieth Century Fox Film Corporation;Drama;50012507;A Walk in the Clouds;6,7;26520;1995;;;;
2053;15000000;Sweetland Films;Comedy;6700000;Mighty Aphrodite;7,1;33697;1995;;;;
2054;50000000;Warner Bros.;Action;30306268;Assassins;6,3;67317;1995;;;;
2055;58000000;Constellation Entertainment;Comedy;53672080;Sabrina;6,3;31451;1995;;;;
2056;28000000;United Artists;Adventure;31600000;Rob Roy;6,9;36234;1995;;;;
2057;55000000;Columbia Pictures Corporation;Action;37600435;First Knight;5,9;59052;1995;;;;
2058;30000000;Gaumont;Comedy;10693649;Drácula: Muerto pero feliz;5,8;32629;1995;;;;
2059;98000000;Beckner/Gorman Productions;Action;10017322;Cutthroat Island;5,6;22527;1995;;;;
2060;13000000;Tales From The Crypt Holdings;Action;21088568;Tales from the Crypt: Demon Knight;6,7;17728;1995;;;;
2061;22000000;Columbia Pictures Corporation;Action;50727965;The Net;5,9;51864;1995;;;;
2062;10000000;Caravan Pictures;Action;24200000;Dead Presidents;6,8;16395;1995;;;;
2063;0;Polygram Filmed Entertainment;Comedy;38896854;French Kiss;6,6;40933;1995;;;;
2064;45000000;Columbia Pictures Corporation;Drama;35617599;The Indian in the Cupboard;5,9;22044;1995;;;;
2065;23000000;Hollywood Pictures;Drama;82569971;Mr. Holland's Opus;7,3;31602;1995;;;;
2066;50000000;Allied Stars Ltd.;Drama;10400000;The Scarlet Letter;5,2;12706;1995;;;;
2067;20000000;Eddie Murphy Productions;Comedy;19751736;Vampire in Brooklyn;4,5;18359;1995;;;;
2068;0;Amblimation;Animation;11268750;Balto;7,1;32984;1995;;;;
2069;15000000;Tapestry Films;Adventure;13406717;A Kid in King Arthur's Court;4,8;4897;1995;;;;
2070;8000000;First Look International;Action;16115878;The Prophecy;6,6;25657;1995;;;;
2071;30000000;Sandollar Productions;Comedy;76594000;Father of the Bride Part II;5,9;28658;1995;;;;
2072;0;Alliance Communications Corporation;Drama;1194152;When Night Is Falling;6,7;5706;1995;;;;
2073;800000;Suburban Pictures;Comedy;4771000;Welcome to the Dollhouse;7,4;28073;1995;;;;
2074;30000000;United Artists;Action;2167808;Wild Bill;5,9;5307;1995;;;;
2075;20000000;Triumph Films;Sci-Fi;5781885;Asesinos cibernéticos;6,4;21565;1995;;;;
2076;6500000;Beacon Communications;Comedy;9685976;The Baby-Sitters Club;5,7;4594;1995;;;;
2077;8000000;FIT Productions;Biography;339889;Total Eclipse;6,6;11309;1995;;;;
2078;30000000;Paramount Pictures;Action;24048000;Virtuosity;5,6;24720;1995;;;;
2079;50000000;Cinergi Pictures Entertainment;Biography;13560960;Nixon;7,1;25426;1995;;;;
2080;50000000;Paramount Pictures;Crime;9795017;Jade;5,2;9815;1995;;;;
2081;12000000;Caravan Pictures;Comedy;17725500;The Big Green;5,5;7500;1995;;;;
2082;12000000;Seraphim Films;Horror;13293081;Lord of Illusions;6;11887;1995;;;;
2083;7500000;Golden Harvest Company;Action;32392047;Rumble in the Bronx;6,7;32513;1995;;;;
2084;1000000;American Playhouse Theatrical Films;Drama;512245;Safe;7,2;9448;1995;;;;
2085;0;Warner Bros.;Action;36853222;Just Cause;6,4;20952;1995;;;;
2086;10000000;Universal Pictures;Comedy;23574130;How to Make an American Quilt;6,2;9152;1995;;;;
2087;0;Columbia Pictures Corporation;Comedy;442965;The Last Supper;6,8;12713;1995;;;;
2088;11000000;Castle Rock Entertainment;Drama;2112951;Othello;6,9;7965;1995;;;;
2089;0;Hawn / Sylbert Movie Company;Comedy;50892160;Something to Talk About;5,7;11105;1995;;;;
2090;16000000;Twentieth Century Fox Film Corporation;Comedy;67052156;Waiting to Exhale;5,7;7977;1995;;;;
2091;0;Distant Horizon;Horror;1781383;El triturador;4;7031;1995;;;;
2092;0;Warner Bros.;Drama;17382000;Murder in the First;7,3;23058;1995;;;;
2093;0;Alcor Films;Adventure;30077111;Free Willy 2: The Adventure Home;4,9;13906;1995;;;;
2094;35000000;Universal Pictures;Action;20350171;Sudden Death;5,7;27472;1995;;;;
2095;0;Twentieth Century Fox Film Corporation;Comedy;69700000;Nine Months;5,4;31410;1995;;;;
2096;25000000;Universal Pictures;Crime;13040603;Clockers;6,9;17650;1995;;;;
2097;0;Canal+ España;Action;15324;The Day of the Beast;7,5;13867;1995;;;;
2098;0;Price Entertainment;Drama;23397365;Círculo de amigos;6,6;7310;1995;;;;
2099;0;Walt Disney Pictures;Action;24700000;Operation Dumbo Drop;5;7352;1995;;;;
2100;0;All Girl Productions;Comedy;40070995;Man of the House;5;7041;1995;;;;
2101;7000000;Miramax;Crime;529766;Things to Do in Denver When You're Dead;6,8;23358;1995;;;;
2102;11000000;Dog Eat Dog Films;Comedy;178104;Canadian Bacon;5,9;14286;1995;;;;
2103;5500000;American Playhouse;Drama;11079373;My Family;7,3;3222;1995;;;;
2104;0;Walt Disney Pictures;Adventure;23735802;Tom and Huck;5,6;8150;1995;;;;
2105;0;Union Générale Cinématographique (UGC);Action;259319;The Doom Generation;6;12096;1995;;;;
2106;500000;JDI Productions;Comedy;1148752;Living in Oblivion;7,6;13615;1995;;;;
2107;7000000;Miramax;Comedy;8349430;Smoke;7,4;29466;1995;;;;
2108;27000000;TriStar Pictures;Crime;16030096;Devil in a Blue Dress;6,7;14406;1995;;;;
2109;9000000;Miramax;Drama;832910;The Crossing Guard;6,3;11262;1995;;;;
2110;0;Universal Pictures;Adventure;6029091;Gold Diggers: The Secret of Bear Mountain;6;3561;1995;;;;
2111;68000000;Columbia Pictures;Action;35324232;Money Train;5,6;34091;1995;;;;
2112;0;Alliance Communications Corporation;Drama;62949;Delta of Venus;4,5;1596;1995;;;;
2113;33000000;Paramount Pictures;Action;8169363;Nick of Time;6,3;34436;1995;;;;
2114;20000000;Paramount Pictures;Comedy;17518220;Home for the Holidays;6,6;9567;1995;;;;
2115;40000000;Twentieth Century Fox Film Corporation;Action;14942422;Kiss of Death;5,9;14977;1995;;;;
2116;0;Mayfair Entertainment International;Drama;2600000;Richard III;7,5;12218;1995;;;;
2117;6000000;40 Acres & A Mule Filmworks;Crime;11797927;Tales from the Hood;6,2;5082;1995;;;;
2118;17000000;Paramount Pictures;Drama;7603766;Losing Isaiah;6,4;4713;1995;;;;
2119;21000000;Alcor Films;Comedy;23450000;Boys on the Side;6,4;10182;1995;;;;
2120;32000000;Caravan Pictures;Adventure;8247627;Tall Tale;5,9;2814;1995;;;;
2121;15000000;Savoy Pictures;Drama;6014340;The Walking Dead;4,8;652;1995;;;;
2122;0;Twentieth Century Fox Film Corporation;Adventure;7919823;Bushwhacked;5,5;4842;1995;;;;
2123;25000;Brothers McMullen Productions;Comedy;10246600;The Brothers McMullen;6,6;6598;1995;;;;
2124;0;Twentieth Century Fox Film Corporation;Comedy;12100000;Bye Bye Love;6,1;4239;1995;;;;
2125;50000000;Warner Bros.;Action;11534477;Fair Game;4,1;10655;1995;;;;
2126;0;Carolco Pictures;Adventure;7400000;Last of the Dogmen;6,9;4209;1995;;;;
2127;0;Playhouse International Pictures;Drama;5304000;Angels and Insects;7;4083;1995;;;;
2128;0;Universal Pictures;Drama;2568429;The Cure;7,7;8061;1995;;;;
2129;0;Atlas Entertainment;Comedy;4821759;Angus;6,7;5736;1995;;;;
2130;0;Sheen Productions;Comedy;407618;3 Ninjas Knuckle Up;4,1;4527;1995;;;;
2131;0;Available Light Productions;Drama;986128;Heavy;7;3835;1995;;;;
2132;0;1992 Number Four Limited Partnership;Adventure;4686937;Senior Trip;5,6;4845;1995;;;;
2133;250000;Fine Line Features;Comedy;1977544;The Incredibly True Adventure of Two Girls in Love;6,5;3759;1995;;;;
2134;7000000;A Band Apart;Drama;3760515;White Man's Burden;5,2;4197;1995;;;;
2135;0;Castle Rock Entertainment;Comedy;33194500;Forget Paris;6,4;9897;1995;;;;
2136;15000000;Metro-Goldwyn-Mayer (MGM);Drama;3987649;Fluke;6,7;5577;1995;;;;
2137;0;PolyGram Filmed Entertainment;Horror;13940383;Candyman: Farewell to the Flesh;5,2;8119;1995;;;;
2138;19000000;Avenue Pictures;Biography;4100000;Restoration;6,7;7894;1995;;;;
2139;0;Cantaloupe Production;Comedy;5221281;Miami Rhapsody;5,4;2821;1995;;;;
2140;0;Miramax;Comedy;10904930;The Englishman Who Went Up a Hill But Came Down a Mountain;6,6;14381;1995;;;;
2141;0;Fast Films;Horror;302393;The Addiction;6,4;7077;1995;;;;
2142;0;France 3 Cinéma;Crime;76882;La Cérémonie;7,6;7614;1995;;;;
2143;2000000;Miramax;Comedy;1275999;Blue in the Face;6,7;8035;1995;;;;
2144;10000000;Universal Pictures;Action;6607652;The Hunted;5,9;3978;1995;;;;
2145;10500000;Hollywood Pictures;Comedy;26325256;Houseguest;5,9;4716;1995;;;;
2146;0;Sunshine;Drama;30890;Beyond the Clouds;6,5;4750;1995;;;;
2147;15000000;TriStar Pictures;Fantasy;12201255;Hideaway;5,3;5398;1995;;;;
2148;28000000;Metro-Goldwyn-Mayer (MGM);Animation;3983912;La piedra y el pingüino;5,6;3607;1995;;;;
2149;0;TriStar Pictures;Comedy;17014653;Jury Duty;4,1;6575;1995;;;;
2150;6400000;TriStar Pictures;Crime;6849998;Never Talk to Strangers;5,1;5483;1995;;;;
2151;0;CiBy 2000;Drama;1162000;The Flower of My Secret;7,1;8430;1995;;;;
2152;0;British Screen Productions;Comedy;218626;Jack & Sarah;6,6;4448;1995;;;;
2153;0;BIM Distribuzione;Drama;230187;Land and Freedom;7,6;8477;1995;;;;
2154;8000000;Rank Organisation, The;Comedy;2763020;Dr. Jekyll and Ms. Hyde;4,4;2379;1995;;;;
2155;0;Touchstone Pictures;Drama;15453274;Mad Love;5,3;5568;1995;;;;
2156;14000000;Touchstone Pictures;Biography;2474000;Jefferson in Paris;5,7;2535;1995;;;;
2157;0;Paradis Films;Drama;42202;Ulysses' Gaze;7,6;4957;1995;;;;
2158;0;Bergen;Comedy;4823217;Antonia's Line;7,5;7174;1995;;;;
2159;0;Touchstone Pictures;Crime;3700000;Bad Company;5,4;2411;1995;;;;
2160;5000000;40 Acres & A Mule Filmworks;Crime;3565508;New Jersey Drive;6,7;2341;1995;;;;
2161;0;Hollywood Pictures;Comedy;532268;Funny Bones;7;3191;1995;;;;
2162;4000000;British Broadcasting Corporation (BBC);Comedy;258195;An Awfully Big Adventure;6;2273;1995;;;;
2163;0;Polygram Filmed Entertainment;Comedy;2488858;Moonlight and Valentino;5,8;3086;1995;;;;
2164;150000;Party Productions;Comedy;472370;Party Girl;6,6;3784;1995;;;;
2165;23000000;Castle Rock Entertainment;Action;5750110;Beyond Rangoon;6,6;4306;1995;;;;
2166;0;The Booking Office;Comedy;3487767;Jeffrey;6,7;5075;1995;;;;
2167;0;Lee Rich Productions;Family;7506759;The Amazing Panda Adventure;5,8;3344;1995;;;;
2168;0;Gramercy Pictures (I);Drama;6834525;Panther;6,4;1943;1995;;;;
2169;3000000;Republic Pictures (II);Comedy;294991;Rumpelstiltskin;4,4;1935;1995;;;;
2170;6500000;Populist Pictures;Crime;536023;The Underneath;6,2;2718;1995;;;;
2171;0;Twentieth Century Fox Film Corporation;Adventure;11642946;Far from Home: The Adventures of Yellow Dog;6,4;2182;1995;;;;
2172;0;PolyGram Filmed Entertainment;Biography;3242342;Carrington;6,9;4621;1995;;;;
2173;0;CiBy 2000;Drama;1110104;Georgia;6,5;2530;1995;;;;
2174;0;Warner Bros.;Adventure;3674841;Born to Be Wild;5,1;1191;1995;;;;
