;budget;company;genre;gross;name;score;votes;year;Animation_1;Animation_2;Animation_3;Animation_4
5065;250000000;Warner Bros.;Adventure;301959197;Harry Potter and the Half-Blood Prince;7,5;362271;2009;;;;
5066;40000000;Twentieth Century Fox Film Corporation;Animation;21002919;Fantastic Mr. Fox;7,8;154247;2009;;;;
5067;23600000;Columbia Pictures;Adventure;75590286;Zombieland;7,7;419201;2009;;;;
5068;25000000;Paramount Pictures;Drama;83823381;Up in the Air;7,4;283498;2009;;;;
5069;29000000;Alcon Entertainment;Biography;255959475;The Blind Side;7,7;242741;2009;;;;
5070;19000000;New Line Cinema;Horror;65002019;Friday the 13th;5,6;80586;2009;;;;
5071;90000000;Warner Bros.;Action;209028679;Sherlock Holmes;7,6;511547;2009;;;;
5072;200000000;Columbia Pictures;Action;166112167;2012;5,8;303766;2009;;;;
5073;60000000;Focus Features;Animation;75286229;Coraline;7,7;161158;2009;;;;
5074;150000000;Twentieth Century Fox Film Corporation;Action;179883157;X-Men Origins: Wolverine;6,7;397838;2009;;;;
5075;175000000;Pixar Animation Studios;Animation;293004164;Up;8,3;743601;2009;;;;
5076;47000000;Pan Européenne;Drama;3600;Mr. Nobody;7,9;173190;2009;;;;
5077;11000000;StudioCanal;Drama;3074838;Chloe;6,3;60262;2009;;;;
5078;0;Vinod Chopra Productions;Adventure;6532908;3 Idiots;8,4;250762;2009;;;;
5079;7500000;Fox Searchlight Pictures;Comedy;32391374;500 Days of Summer;7,7;407875;2009;;;;
5080;200000000;Halcyon Company, The;Action;125322469;Terminator Salvation;6,6;301842;2009;;;;
5081;5000000;Liberty Films UK;Drama;5009677;Moon;7,9;283589;2009;;;;
5082;200000000;DreamWorks;Action;402111870;Transformers: Revenge of the Fallen;6;343549;2009;;;;
5083;2000000;Tornasol Films;Drama;20167424;The Secret in Their Eyes;8,2;149747;2009;;;;
5084;13000000;Yellow Bird;Drama;10095170;The Girl with the Dragon Tattoo;7,8;185107;2009;;;;
5085;30000000;Twentieth Century Fox Film Corporation;Action;9353573;Dragonball: Evolution;2,6;60877;2009;;;;
5086;0;Boo Productions;Drama;110248;Dogtooth;7,3;53533;2009;;;;
5087;0;Dark Castle Entertainment;Horror;41596251;Orphan;7;157791;2009;;;;
5088;30000000;TriStar Pictures;Sci-Fi;115646235;Sector 9;8;566581;2009;;;;
5089;150000000;Columbia Pictures;Mystery;133375846;Angels & Demons;6,7;232877;2009;;;;
5090;16000000;Fox Atomic;Comedy;16204793;Jennifer's Body;5,1;98187;2009;;;;
5091;11000000;Zentropa Entertainments;Drama;397070;Anticristo;6,6;96352;2009;;;;
5092;40000000;Touchstone Pictures;Comedy;163958031;The Proposal;6,7;247443;2009;;;;
5093;25000000;Dimension Films;Adventure;56692;The Road;7,3;191196;2009;;;;
5094;50000000;Film Department, The;Crime;73343413;Law Abiding Citizen;7,4;232508;2009;;;;
5095;65000000;Walt Disney Pictures;Action;67172594;Race to Witch Mountain;5,7;46750;2009;;;;
5096;30000000;Curmudgeon Films;Drama;49200230;My Sister's Keeper;7,4;79925;2009;;;;
5097;175000000;Paramount Pictures;Action;152267519;G.I. Joe: The Rise of Cobra;5,8;182662;2009;;;;
5098;15000000;Rogue Pictures;Crime;32721635;The Last House on the Left;6,6;72961;2009;;;;
5099;85000000;Universal Pictures;Action;155064265;Fast & Furious;6,6;223114;2009;;;;
5100;65000000;DreamWorks;Drama;43818839;The Lovely Bones;6,7;133076;2009;;;;
5101;40000000;New Line Cinema;Comedy;93953653;A él no le gustas tanto;6,4;139962;2009;;;;
5102;0;Six Entertainment;Horror;181467;The Human Centipede (First Sequence);4,4;62034;2009;;;;
5103;33000000;Constantin Film;Action;10330853;Pandorum;6,8;128906;2009;;;;
5104;100000000;Universal Pictures;Biography;97104620;Public Enemies;7;244316;2009;;;;
5105;20000000;New Line Cinema;Comedy;64167069;17 Again;6,4;155399;2009;;;;
