;budget;company;genre;gross;name;score;votes;year;Animation_1;Animation_2;Animation_3;Animation_4;Franchise;Disney_princess
103;150000000.0;DreamWorks;Animation;436471036.0;Shrek 2;7.2;342666.0;2004.0;;x;;;Shrek;
104;165000000.0;Castle Rock Entertainment;Animation;183373735.0;The Polar Express;6.6;134170.0;2004.0;;;;;;
105;75000000.0;DreamWorks Animation;Animation;160861908.0;Shark Tale;6;142203.0;2004.0;;;;;;
106;80000000.0;Warner Bros.;Animation;84216833.0;Scooby-Doo 2: Monsters Unleashed;5;36847.0;2004.0;;;;;;
107;30000000.0;Paramount Pictures;Animation;85417988.0;The SpongeBob SquarePants Movie;7;64107.0;2004.0;;;;;;
108;35000000.0;Twentieth Century Fox Film Corporation;Animation;75369589.0;Garfield;5;64907.0;2004.0;;;;;;
109;0.0;Bandai Visual Company;Animation;1043896.0;Ghost in the Shell 2: Innocence;7.6;30980.0;2004.0;;;;;;
110;110000000.0;Walt Disney Pictures;Animation;50030461.0;Home on the Range;5.4;15266.0;2004.0;;;;;;
111;0.0;Bandai Visual Company;Animation;410388.0;Steamboy;6.9;14575.0;2004.0;;;;;;
112;20000000.0;4 Kids Entertainment;Animation;19762690.0;Yu-Gi-Oh!: The Movie;4.6;6776.0;2004.0;;;;;;
113;40000000.0;Warner Bros.;Animation;53359111.0;Corpse Bride;7.4;205383.0;2005.0;;;;;;
114;75000000.0;DreamWorks Animation;Animation;193595521.0;Madagascar;6.9;294387.0;2005.0;x;;;;Madagascar;
115;75000000.0;Twentieth Century Fox Animation;Animation;128200012.0;Robots;6.3;111639.0;2005.0;;;;;;
116;150000000.0;Walt Disney Pictures;Animation;135386665.0;Chicken Little;5.8;70253.0;2005.0;;;;;;
117;17500000.0;The Weinstein Company;Animation;51386611.0;Hoodwinked!;6.5;48853.0;2005.0;;;;;;
118;30000000.0;Aardman Animations;Animation;56110897.0;The Curse of the Were-Rabbit;7.5;105471.0;2005.0;;;;;;
119;35000000.0;Vanguard Animation;Animation;19447478.0;Valiant;5.6;17195.0;2005.0;;;;;;
120;120000000.0;Pixar Animation Studios;Animation;244082982.0;Cars;7.1;292006.0;2006.0;x;;;;Cars;
121;75000000.0;Columbia Pictures;Animation;73661010.0;Monster House;6.6;79512.0;2006.0;;;;;;
122;8700000.0;Warner Independent Pictures (WIP);Animation;5501616.0;A Scanner Darkly;7.1;94464.0;2006.0;;;;;;
123;100000000.0;Warner Bros.;Animation;198000317.0;Happy Feet;6.5;144200.0;2006.0;x;;;;Happy Feet;
124;80000000.0;DreamWorks Animation;Animation;155019340.0;Over the Hedge;6.8;136214.0;2006.0;;;;;;
125;149000000.0;Aardman Animations;Animation;64665672.0;Flushed Away;6.6;92380.0;2006.0;;;;;;
126;0.0;Madhouse;Animation;881302.0;Paprika;7.7;51679.0;2006.0;;;;;;
127;80000000.0;Twentieth Century Fox Animation;Animation;195330621.0;Ice Age: The Meltdown;6.9;211943.0;2006.0;x;;;;Ice Age;
128;86000000.0;EuropaCorp;Animation;15132763.0;Arthur and the Invisibles;6;27672.0;2006.0;;;;;;
129;85000000.0;Columbia Pictures;Animation;85105259.0;Open Season;6.2;71052.0;2006.0;;;;;;
130;35000000.0;Arc Productions;Animation;14522427.0;Everyone's Hero;5.8;6650.0;2006.0;;;;;;
131;50000000.0;Imagine Entertainment;Animation;58640119.0;Curious George;6.6;13503.0;2006.0;;;;;;
132;0.0;Buena Vista Home Entertainment;Animation;48461.0;Cuentos de Terramar;6.5;26067.0;2006.0;;;;;;
133;51000000.0;Paramount Pictures;Animation;72779000.0;La Granja;5.6;22732.0;2006.0;;;;;;
134;60000000.0;Twentieth Century Fox Film Corporation;Animation;28426747.0;Garfield 2;5;30758.0;2006.0;;;;;;
135;50000000.0;Warner Bros.;Animation;28142535.0;The Ant Bully;5.9;31986.0;2006.0;;;;;;
136;80000000.0;C.O.R.E. Feature Animation;Animation;37384046.0;Vida salvaje;5.3;20301.0;2006.0;;;;;;
137;150000000.0;Pixar Animation Studios;Animation;206445654.0;Ratatouille;8;516560.0;2007.0;;;;;;
138;85000000.0;Walt Disney Pictures;Animation;127807262.0;Enchanted;7.1;153161.0;2007.0;;;;;;
139;150000000.0;Paramount Pictures;Animation;82161969.0;Beowulf;6.2;148203.0;2007.0;;;;;;
